DateTime,Entries,UniqueIPs
1529035659,6640,6640
1529039255,6656,6656
1529042855,6645,6645
1529046455,6629,6629
1529050057,6627,6627
1529053656,6640,6640
1529057257,6655,6655
1529060856,6647,6647
1529064455,6629,6629
1529068057,6630,6630
1529071651,6576,6576
1529075253,6589,6589
1529078852,6585,6585
1529082456,6585,6585
1529086054,6591,6591
1529089656,6574,6574
1529093254,6570,6570
1529096855,6578,6578
1529100450,6584,6584
1529104058,6596,6596
1529107657,6574,6574
1529111249,6567,6567
1529114851,6539,6539
1529118439,6543,6543
1529122048,6542,6542
1529125647,6529,6529
1529129254,6542,6542
1529132846,6516,6516
1529136445,6479,6479
1529140046,6487,6487
1529143643,6488,6488
1529147245,6504,6504
1529150851,6577,6577
1529154447,6630,6630
1529158056,6651,6651
1529161655,6675,6675
1529165255,6701,6701
1529168859,6704,6704
1529172458,6746,6746
1529176061,6740,6740
1529179654,6743,6743
1529183255,6739,6739
1529186863,6758,6758
1529190459,6788,6788
1529194061,6769,6769
1529197659,6768,6768
1529201261,6760,6760
1529204858,6746,6746
1529208459,6759,6759
1529212060,6755,6755
1529215654,6763,6763
1529219258,6770,6770
1529222858,6778,6778
1529226461,6803,6803
1529230065,6826,6826
1529233663,6849,6849
1529237271,6854,6854
1529240862,6839,6839
1529244462,6835,6835
1529248064,6828,6828
1529251662,6852,6852
1529255264,6838,6838
1529258862,6837,6837
1529262463,6842,6842
1529266069,6833,6833
1529269666,6839,6839
1529273263,6861,6861
1529276868,6877,6877
1529280465,6882,6882
1529284066,6863,6863
1529287655,6859,6859
1529291264,6838,6838
1529294862,6840,6840
1529298469,6853,6853
1529302063,6849,6849
1529305666,6857,6857
1529309268,6852,6852
1529312865,6853,6853
1529316467,6858,6858
1529320066,6859,6859
1529323675,6877,6877
1529327270,6851,6851
1529330866,6856,6856
1529334472,6848,6848
1529338077,6853,6853
1529341670,6866,6866
1529345280,6867,6867
1529348872,6876,6876
1529352475,6866,6866
1529356076,6858,6858
1529359666,6851,6851
1529363268,6858,6858
1529366866,6878,6878
1529370466,6870,6870
1529374065,6850,6850
1529377667,6842,6842
1529381268,6828,6828
1529384868,6843,6843
1529388463,6841,6841
1529392064,6846,6846
1529395660,6810,6810
1529399278,6796,6796
1529402864,6796,6796
1529406460,6791,6791
1529410066,6811,6811
1529413670,6894,6894
1529417272,6912,6912
1529420869,6948,6948
1529424471,6957,6957
1529428071,6987,6987
1529431675,6982,6982
1529435275,6987,6987
1529438874,7008,7008
1529442485,7005,7005
1529446074,7007,7007
1529449676,7062,7062
1529453277,7074,7074
1529456881,7093,7093
1529460474,7065,7065
1529464078,7063,7063
1529467675,7042,7042
1529471281,7050,7050
1529474878,7061,7061
1529478475,7059,7059
1529482083,7067,7067
1529485681,7063,7063
1529489279,7079,7079
1529492878,7080,7080
1529496480,7079,7079
1529500076,7075,7075
1529503672,7045,7045
1529507278,7054,7054
1529510882,7047,7047
1529514478,7049,7049
1529518075,7064,7064
1529521679,7065,7065
1529525276,7056,7056
1529528877,7045,7045
1529532478,7011,7011
1529536069,6981,6981
1529539677,6940,6940
1529543271,6904,6904
1529546872,6890,6890
1529550474,6886,6886
1529554071,6903,6903
1529557673,6892,6892
1529561269,6896,6896
1529564870,6901,6901
1529568465,6859,6859
1529572065,6861,6861
1529575667,6822,6822
1529579266,6813,6813
1529582868,6796,6796
1529586467,6779,6779
1529590062,6746,6746
1529593665,6720,6720
1529597269,6717,6717
1529600866,6682,6682
1529604454,6676,6676
1529608062,6678,6678
1529611662,6681,6681
1529615265,6668,6668
1529618862,6631,6631
1529622459,6638,6638
1529626055,6641,6641
1529629649,6582,6582
1529633252,6562,6562
1529636850,6569,6569
1529640454,6591,6591
1529644051,6564,6564
1529647648,6578,6578
1529651254,6578,6578
1529654850,6581,6581
1529658452,6569,6569
1529662052,6550,6550
1529665652,6562,6562
1529669257,6541,6541
1529672850,6534,6534
1529676453,6544,6544
1529680048,6515,6515
1529683650,6520,6520
1529687248,6509,6509
1529690849,6496,6496
1529694461,6490,6490
1529698069,6620,6620
1529701675,6674,6674
1529705372,6688,6688
1529708968,6692,6692
1529712469,6700,6700
1529716066,6696,6696
1529719670,6704,6704
1529723270,6688,6688
1529726867,6682,6682
1529730458,6685,6685
1529734056,6666,6666
1529737651,6661,6661
1529741259,6653,6653
1529744852,6663,6663
1529748462,6657,6657
1529752056,6640,6640
1529755660,6631,6631
1529759255,6618,6618
1529762866,6607,6607
1529766456,6592,6592
1529770072,6575,6575
1529773658,6571,6571
1529777262,6522,6522
1529780859,6551,6551
1529784461,6520,6520
1529788057,6533,6533
1529791659,6514,6514
1529795255,6490,6490
1529798857,6495,6495
1529802460,6504,6504
1529806059,6498,6498
1529809647,6487,6487
1529813260,6450,6450
1529816853,6465,6465
1529820453,6450,6450
1529824049,6445,6445
1529827640,6410,6410
1529831246,6415,6415
1529834844,6393,6393
1529838442,6373,6373
1529842048,6386,6386
1529845640,6379,6379
1529849240,6373,6373
1529852834,6358,6358
1529856449,6320,6320
1529860052,6340,6340
1529863648,6321,6321
1529867251,6322,6322
1529870854,6302,6302
1529874449,6294,6294
1529878046,6271,6271
1529881646,6249,6249
1529885247,6241,6241
1529888846,6234,6234
1529892447,6222,6222
1529896044,6220,6220
1529899647,6205,6205
1529903240,6183,6183
1529906830,6183,6183
1529910433,6173,6173
1529914033,6167,6167
1529917626,6158,6158
1529921232,6167,6167
